date,ticker,open,high,low,close,volume,sector,analyst_rating
2023-05-19,CMPX,$226.08,$227.75,$223.99,$227.64,2708770,Healthcare,Buy
2023-08-09,ALNX,$231.89,$232.17,$227.21,$230.01,3349376,Technology,
2023-04-21,CMPX,$207.08,$211.91,$206.07,$209.87,2025150,Healthcare,Hold
2023-02-01,BRTV,$79.97,$81.33,$78.60,$80.50,1867767,Finance,Hold
2023-02-15,BRTV,$79.32,$80.66,$77.47,$79.54,906133,Finance,Strong Buy
2023-06-08,BRTV,$92.50,$93.10,$91.21,$91.50,2381088,Finance,Buy
2023-05-27,ALNX,$183.85,$187.79,$179.42,$187.13,4305473,Technology,Hold
2023-09-09,CMPX,$262.72,$267.99,$258.11,$266.44,1623907,Healthcare,Hold
2023-02-22,BRTV,$80.42,$81.61,$79.32,$80.33,2346554,Finance,Buy
2023-02-07,ALNX,$159.00,$160.97,$156.01,$157.24,3126256,Technology,
2023-04-11,ALNX,$202.24,$205.49,$199.44,$202.85,4565690,Technology,
2023-08-18,CMPX,$272.94,$279.00,$269.25,$270.11,4012965,Healthcare,Hold
2023-08-03,ALNX,$216.49,$219.89,$211.36,$217.04,2273424,Technology,Buy
2023/05/02,ALNX,$195.12,$196.96,$190.44,$196.11,3757481,Technology,
2023-08-16,BRTV,$107.11,$109.26,$104.74,$105.02,2664688,Finance,Hold
2023-04-26,ALNX,$198.00,$199.91,$197.58,$198.85,970576,Technology,Strong Buy
2023-01-21,BRTV,$83.19,$85.27,$83.10,$83.26,2588067,Finance,
2023-08-01,ALNX,$218.92,$223.15,$218.46,$222.07,940000,Technology,
2023-04-06,CMPX,$226.41,$230.67,$223.12,$226.59,1453158,Healthcare,Sell
2023-02-17,BRTV,$78.25,$79.45,$77.95,$78.78,,Finance,Buy
2023-02-25,CMPX,$231.56,$236.20,$229.08,$234.95,3221041,Healthcare,Strong Buy
2023-09-08T00:00:00,BRTV,$106.08,$106.44,$104.16,$105.38,3684583,Finance,Strong Buy
2023-08-22,CMPX,$271.55,$278.23,$267.29,$277.52,2257202,Healthcare,Hold
2023-01-25,CMPX,$216.71,$219.22,$214.96,$217.35,1738466,Healthcare,Buy
2023-01-10,ALNX,$151.51,$152.24,$150.20,$151.42,4027662,Technology,Strong Buy
2023-04-08,BRTV,$71.38,$72.36,$69.93,$71.82,3745238,Finance,Hold
2023-05-17,CMPX,$217.47,$219.74,$216.18,$217.39,3866928,Healthcare,Hold
2023-06-13,CMPX,$217.90,$220.30,$215.22,$217.19,2939058,Healthcare,Hold
2023-01-17,CMPX,$216.75,$219.16,$212.78,$214.37,1432374,Healthcare,Strong Buy
2023-03-28,BRTV,$73.18,$74.09,$72.06,$73.45,4912673,Finance,Strong Buy
2023-08-10,CMPX,$273.84,$274.51,$273.55,$274.23,1580364,Healthcare,Buy
2023-08-08,CMPX,$268.09,$271.35,$263.20,$270.09,3545599,Healthcare,Buy
2023-07-29,CMPX,$266.47,$267.58,$265.31,$266.60,3865301,Healthcare,
2023-08-17,CMPX,$272.28,$272.88,$271.51,$272.10,4113489,Healthcare,Strong Buy
2023-08-31,CMPX,$271.19,$272.48,$265.07,$266.59,2393703,Healthcare,Strong Buy
2023-07-22,BRTV,$89.10,$90.00,$88.50
2023-01-10,CMPX,$209.66,$212.57,$205.76,$210.12,1735767,Healthcare,Sell
2023-04-05,CMPX,$227.36,$232.96,$221.97,$224.22,2571959,Healthcare,Hold
2023-01-12,ALNX,$149.89,$150.11,$149.49,$150.03,3379615,Technology,Hold
2023-08-09,CMPX,$273.30,$275.18,$266.51,$270.07,2754526,Healthcare,
2023-01-04,CMPX,$215.01,$217.99,$214.66,$215.92,3259357,Healthcare,
2023-03-09,ALNX,$168.60,$171.16,$167.90,$170.75,4493556,Technology,Buy
2023-05-17,ALNX,$180.22,$182.13,$178.18,$178.95,3220966,Technology,Buy
2023-02-15,CMPX,$238.99,$239.83,$238.53,$239.36,4656573,Healthcare,Hold
2023-02-04,CMPX,$216.93,$220.89,$214.13,$219.74,4540594,Healthcare,Hold
2023-08-04,CMPX,$269.13,$273.06,$264.78,$266.89,1663228,Healthcare,
2023-03-21,ALNX,$179.66,$181.87,$177.84,$181.64,3551516,Technology,
2023-08-26,ALNX,$249.63,$254.76,$245.66,$252.34,3270589,Technology,Hold
2023-08-30,CMPX,$263.84,$269.16,$257.46,$257.69,2990497,Healthcare,Buy
2023-06-09,CMPX,$217.26,--,$216.08,$218.21,3475158,Healthcare,
2023-08-03,CMPX,$268.47,$274.04,$263.43,$267.38,3054559,Healthcare,Buy
2023-07-14,CMPX,$259.14,$261.98,$257.89,$259.89,1493491,Healthcare,
2023-07-08,BRTV,$113.46,$115.78,$110.94,$115.05,1717400,Finance,Hold
2023-02-28,BRTV,$80.46,$80.70,$78.53,$79.47,3503829,Finance,
2023-03-25,BRTV,$75.14,$75.53,$73.36,$74.97,1753359,Finance,Buy
2023-06-16,ALNX,$203.82,$208.34,$201.00,$206.89,4738371,Technology,Sell
2023-09-05,BRTV,$106.04,$107.02,$104.77,$106.95,2708515,Finance,
2023-04-13,ALNX,$204.73,$207.40,$204.32,$205.71,3680964,Technology,Buy
2023-05-06,CMPX,$202.56,$204.75,$200.29,$200.85,3459420,Healthcare,Buy
2023-05-11,BRTV,$76.97,$78.23,$75.97,$77.39,3229941,Finance,Sell
2023-08-02,ALNX,$221.47,$224.55,$216.74,$217.39,1462880,Technology,
2023-07-13,ALNX,$208.99,$212.16,$207.14,$208.71,2801293,Technology,Sell
2023-09-12,CMPX,$267.81,$273.65,$266.39,$270.13,2133557,Healthcare,Buy
2023-09-14,BRTV,$107.39,$108.38,$106.86,$107.25,1558262,Finance,Sell
2023-08-15,ALNX,$242.88,$245.82,$241.78,$242.15,3351940,Technology,
2023-05-27,BRTV,$88.95,$89.12,$88.51,$88.99,2362895,Finance,Sell
2023-01-03,ALNX,$144.15,$144.38,$141.50,$142.14,1659791,Technology,
2023-04-13,BRTV,$73.28,$73.66,$71.88,$72.66,4486137,Finance,
2023-06-23,ALNX,$199.14,$201.41,$197.91,$199.89,1599953,Technology,
2023-06-30,BRTV,$106.27,$107.14,$105.61,$106.16,2868547,Finance,Strong Buy
2023-08-10,BRTV,$109.18,$111.19,$106.72,$109.09,2797894,Finance,Strong Buy
2023-08-05,BRTV,$106.57,$107.61,$106.26,$106.50,1096651,Finance,
2023-09-12,BRTV,$108.66,$109.00,$107.10,$108.84,4215592,Finance,Strong Buy
2023-05-12,ALNX,$186.81,$188.86,--,$185.80,2005180,Technology,Sell
2023-03-18,ALNX,$177.20,$177.70,$175.98,142.5O,4133729,Technology,
2023-07-12,BRTV,$111.51,$113.93,$110.13,$112.56,4060142,Finance,
2023-07-05,CMPX,$243.88,$249.51,$241.83,$246.01,3815951,Healthcare,
2023-08-01,CMPX,$263.44,$268.21,$261.70,$264.46,4174547,Healthcare,Buy
2023-07-15,ALNX,$199.25,$203.09,$195.67,$197.71,3221542,Technology,Hold
2023-01-12,BRTV,$84.46,$86.32,$84.27,$84.45,4876783,Finance,Buy
2023-06-29,CMPX,$226.38,$229.65,$226.11,"1,200.50",2222564,Healthcare,Strong Buy
2023-03-10,CMPX,$230.45,$231.22,$228.19,$230.83,4521845,Healthcare,Hold
2023-02-23,CMPX,$238.59,$244.03,$234.33,$240.04,4397285,Healthcare,Sell
2023-02-25,ALNX,$157.01,$158.88,$155.67,$158.64,2459427,Technology,Strong Buy
2023-05-16,CMPX,$210.44,$214.93,$207.36,$214.04,3868365,Healthcare,Strong Buy
2023-06-03,CMPX,$233.58,$236.69,$230.30,$230.67,4678710,Healthcare,Sell
2023-06-21,CMPX,$219.92,$222.91,$215.69,$220.16,2917437,Healthcare,Sell
07-01-2023,BRTV,$104.02,$104.92,$103.78,$104.01,3435560,Finance,Hold
2023-03-30,CMPX,$231.56,$235.05,$228.89,$230.92,1825350,Healthcare,Strong Buy
2023-08-19,BRTV,$110.49,$111.55,$109.17,$110.32,3497813,Finance,Strong Buy
2023-04-11,CMPX,$222.42,$225.15,$220.23,$224.15,1271205,Healthcare,Sell
2023-04-06,ALNX,$189.52,$191.03,$185.33,$188.17,4412596,Technology,Hold
2023-01-07,ALNX,$154.61,$156.23,$154.14,$155.10,3021975,Technology,Hold
2023-02-03,CMPX,$214.82,$216.29,$212.83,$212.85,1694119,Healthcare,Strong Buy
2023-07-19,CMPX,$261.81,$268.06,$258.50,$267.11,1598806,Healthcare,Hold
2023-08-18,BRTV,$108.24,$110.64,$105.62,$108.73,2861792,Finance,Sell
2023-05-30,ALNX,$183.77,$186.78,$181.49,$186.19,1925750,Technology,
2023-03-01,CMPX,$226.69,$228.73,$224.67,$228.15,3566593,Healthcare,Strong Buy
2023-06-23,BRTV,$108.90,$109.61,$108.53,$109.28,4788785,Finance,Sell
2023-01-21,ALNX,$152.16,$152.79,$150.71,$151.66,1408535,Technology,Buy
2023-03-02,ALNX,$157.05,$158.29,$156.69,$157.99,1107837,Technology,Strong Buy
2023-05-25,CMPX,$227.02,$232.18,$222.57,$224.81,1640521,Healthcare,Strong Buy
2023-06-14,BRTV,$93.85,$95.46,$92.86,$95.13,2378428,Finance,
2023-01-20,BRTV,$83.21,$85.07,$81.62,$83.67,1487726,Finance,Strong Buy
2023-09-06,CMPX,$269.41,$272.58,$268.81,$269.44,2577463,Healthcare,Hold
2023-07-18,ALNX,$200.35,$205.31,$195.83,$203.70,2876445,Technology,Sell
2023-01-07,BRTV,$84.34,$85.56,$82.76,$84.40,4150414,Finance,Sell
2023-08-19,CMPX,$269.55,$269.99,$266.67,$266.77,3156634,Healthcare,Buy
2023-03-09,BRTV,$77.94,$78.87,$77.34,$77.97,2094875,Finance,Buy
2023-08-23,BRTV,$111.30,$112.92,$110.02,$110.57,4929097,Finance,
2023-02-16,CMPX,$245.52,$247.20,$242.12,$245.22,3979192,Healthcare,Sell
2023-07-20,ALNX,$209.18,$213.33,$208.56,$213.29,1864415,Technology,Hold
2023-07-25,BRTV,$120.84,$121.69,$118.90,$121.42,2188525,Finance,Buy
06/04/2023,BRTV,$72.67,$73.67,$71.25,$72.60,3770969,Finance,Buy
2023-02-11,BRTV,$80.82,$81.29,$78.84,$79.21,1858818,Finance,Strong Buy
2023-04-20,BRTV,$73.12,$74.04,$71.94,$73.90,1845872,Finance,Sell
2023-07-05,BRTV,$109.48,$109.78,$109.35,$109.56,4162196,Finance,
2023-04-21,BRTV,$71.18,$72.11,$69.80,$72.10,3944995,Finance,Hold
2023-05-26,ALNX,$180.60,$182.83,$179.04,$179.56,2124905,Technology,Strong Buy
2023-02-22,CMPX,$239.86,$245.06,$234.52,$235.21,4925069,Healthcare,Buy
2023-06-17,ALNX,$200.31,$201.62,$198.04,$198.92,3631694,Technology,Sell
2023-03-16,CMPX,$223.41,$227.10,$219.48,$222.84,3860677,Healthcare,Hold
2023-03-25,CMPX,$236.25,$240.90,$233.25,$234.08,2658494,Healthcare,
2023-09-08,CMPX,$264.85,$269.28,$261.86,$265.37,,Healthcare,Sell
2023-09-12,ALNX,$231.84,$237.49,$228.51,$235.93,3060058,Technology,Strong Buy
2023-03-04,ALNX,$165.15,$167.88,$161.63,$167.46,3248312,Technology,
2023-06-28T00:00:00,BRTV,$106.62,$107.54,$104.23,$104.25,3385934,Finance,Strong Buy
2023-03-23,ALNX,$182.64,$186.57,$178.51,$184.04,3808774,Technology,Buy
2023-05-03,BRTV,$76.23,$77.34,$75.43,$76.73,3911875,Finance,Sell
2023-06-03,BRTV,$91.91,$93.58,$90.69,$93.29,4536979,Finance,Buy
2023-09-05,ALNX,$234.70,$236.42,$233.55,$235.17,2067775,Technology,Buy
2023-03-11T00:00:00,ALNX,$175.50,$179.48,$171.31,$177.81,3260947,Technology,Sell
2023-07-19,BRTV,$118.74,$120.38,$117.47,$117.96,3254797,Finance,Sell
2023-07-12,CMPX,$256.73,$257.69,$252.48,$254.87,2247265,Healthcare,Sell
2023-06-01T00:00:00,ALNX,$188.71,$188.95,$186.95,$188.34,1321136,Technology,Buy
2023-04-27,CMPX,$213.29,$213.73,$208.98,$209.18,3401105,Healthcare,
2023-03-28,ALNX,$186.15,$189.84,$185.37,$187.70,4642339,Technology,Buy
2023-01-04,ALNX,$146.93,$147.64,$144.75,$145.55,2606182,Technology,Sell
2023-02-08,CMPX,$214.02,$214.26,$210.48,$213.33,4315005,Healthcare,
2023-03-21,CMPX,$227.91,$228.39,$222.42,$228.37,1774089,Healthcare,Buy
2023-07-13,BRTV,$109.01,$110.10,$106.65,$107.99,1956514,Finance,
2023-01-10,BRTV,$85.08,$86.12,$83.47,$84.94,896309,Finance,Buy
2023-06-28,ALNX,$198.18,$199.55,$193.58,$195.18,3987670,Technology,Hold
2023-04-27,BRTV,$76.45,$78.02,$74.65,$77.27,4639294,Finance,Buy
2023-07-18,BRTV,$117.91,$118.12,$115.71,$117.79,1529666,Finance,Strong Buy
2023-06-16,CMPX,$213.24,$216.28,$210.90,,3276252,Healthcare,Hold
2023-01-14,BRTV,$84.41,$85.06,$83.28,$84.24,4765051,Finance,Hold
2023-03-01,BRTV,$78.99,$80.18,$78.22,$79.18,1565396,Finance,Strong Buy
2023-04-28,CMPX,$212.95,$215.21,$209.87,$214.98,3644045,Healthcare,Hold
2023-07-11,ALNX,$207.82,$210.33,$206.60,$208.95,2363526,Technology,Strong Buy
2023-08-30,BRTV,$110.46,$111.57,$109.90,$111.22,2692325,Finance,Hold
2023-03-30,ALNX,$186.40,$187.98,$182.88,$187.74,4778447,Technology,Buy
2023-06-23,CMPX,$213.20,$213.79,$212.61,$213.67,1076000,Healthcare,Hold
2023-04-18,ALNX,$205.76,$210.90,$201.38,$204.20,1648430,Technology,
2023-05-09,ALNX,$198.12,$201.55,$194.81,$200.73,2326417,Technology,Hold
2023-04-14,BRTV,$73.74,$74.50,$72.34,$74.18,2061422,Finance,Sell
2023-07-20,BRTV,$117.10,$119.22,$116.50,$118.57,4094212,Finance,Strong Buy
2023-04-26,CMPX,$215.65,$217.65,$214.05,$216.31,3589368,Healthcare,Hold
2023-08-31,BRTV,$111.42,$113.17,$109.93,$110.03,2184096,Finance,
2023-04-05,BRTV,$74.28,$74.86,$73.63,,3387209,Finance,Buy
2023-07-19,ALNX,$202.58,$203.59,$198.19,$199.31,2535961,Technology,Buy
2023-07-11,CMPX,$257.89,$259.48,$253.17,$257.61,1324822,Healthcare,
2023-09-02,CMPX,$268.12,$270.78,$263.87,$265.16,1174273,Healthcare,Sell
2023-02-23,BRTV,$83.21,$83.53,$82.66,$83.19,2693200,Finance,
2023-03-23,CMPX,$230.09,$233.86,$227.64,$227.77,3597677,Healthcare,Hold
2023-03-10,BRTV,$75.79,$75.99,$75.04,$75.91,2708293,Finance,Buy
2023-07-15,CMPX,$253.29,$258.26,$251.96,$254.27,1149054,Healthcare,Strong Buy
2023-03-01,ALNX,$154.71,$157.70,$151.49,$154.71,4509689,Technology,Sell
2023-05-24,ALNX,$183.53,$186.82,$181.98,$184.35,4824882,Technology,Sell
2023-09-09,BRTV,$107.66,$107.90,$106.20,$106.66,3924259,Finance,Buy
2023-08-05,ALNX,$223.90,$224.74,$222.28,$222.29,903079,Technology,Hold
2023-09-16,BRTV,$110.01,$111.17,$107.53,$109.39,3939266,Finance,
2023-07-29,BRTV,$110.63,$112.07,$109.44,$110.83,901225,Finance,Sell
2023-01-17,ALNX,$146.35,$148.14,$145.25,,1625588,Technology,Buy
2023-06-29,ALNX,$199.38,$201.53,$194.52,$197.00,1580679,Technology,
2023-01-28,ALNX,$156.31,$159.91,$153.71,$158.80,2709209,Technology,Hold
2023-07-11,BRTV,$112.98,$115.09,$112.55,$113.69,4403350,Finance,Strong Buy
2023-06-10,ALNX,$202.37,$205.84,$1.42.50,$200.97,2001755,Technology,
2023-08-25,BRTV,$110.76,$111.29,$110.51,$111.13,4886929,Finance,Sell
2023-04-04,CMPX,$230.98,$235.39,$225.48,$226.29,4517101,Healthcare,Strong Buy
2023-03-08,BRTV,$77.62,$78.46,$76.27,$77.31,3997998,Finance,Strong Buy
2023-05-19,ALNX,$175.70,$179.37,$173.55,$177.67,3314825,Technology,Strong Buy
2023-04-07,ALNX,$190.92,$193.74,$189.40,$191.21,1766144,Technology,Strong Buy
2023-04-07,BRTV,$70.59,$71.21,$70.18,$70.82,3835440,Finance,Buy
2023-06-22,CMPX,$219.11,$221.31,$216.14,$219.43,2237669,Healthcare,Buy
2023-02-15,ALNX,$165.23,$166.59,$163.81,$166.05,1144512,Technology,Sell
2023-07-04,CMPX,142.5O,$244.64,$241.75,$244.15,1380144,Healthcare,Strong Buy
2023-08-29,ALNX,$244.43,$249.05,$239.72,$248.89,2208341,Technology,Buy
2023-01-24,CMPX,$221.02,$222.07,$216.99,$218.06,3676288,Healthcare,Hold
2023-03-07,CMPX,$223.10,$225.92,$219.30,$224.35,3964267,Healthcare,Strong Buy
2023-04-15,CMPX,$220.14,$220.46,$216.27,$220.26,3666658,Healthcare,Strong Buy
2023-06-08,ALNX,$203.98,$208.97,$201.15,$206.77,4357843,Technology,
2023-03-22,ALNX,$177.01,$179.47,$174.24,$176.18,4315890,Technology,
2023-02-11,ALNX,$161.22,$165.06,$158.06,$158.54,1137709,Technology,Buy
2023-06-17,CMPX,$217.00,$219.05,$212.30,$215.99,2343904,Healthcare,
2023-06-10,CMPX,$218.59,$219.05,$214.93,$217.58,3997356,Healthcare,
2023-07-08,CMPX,$265.78,$270.77,$262.43,$267.03,3576542,Healthcare,
2023-01-25,ALNX,$151.34,$154.59,$149.39,$150.70,1226132,Technology,Buy
2023-07-14,BRTV,$112.49,$113.91,$110.20,$111.62,4952108,Finance,Strong Buy
2023-04-13,CMPX,$225.03,$226.11,$221.42,$222.75,4229006,Healthcare,Sell
2023-08-04,BRTV,$109.53,$111.16,$106.99,$108.89,3820938,Finance,Buy
2023-03-29,BRTV,$73.39,$1.42.50,$72.95,$73.10,2603744,Finance,Strong Buy
2023-07-28,CMPX,$258.53,$262.87,$253.94,$258.56,2382481,Healthcare,Strong Buy
2023-08-09,BRTV,$106.50,$107.55,$106.32,$107.55,2439322,Finance,
2023-02-11,CMPX,$226.45,$229.74,$221.97,$227.40,3894517,Healthcare,Hold
2023-08-23,ALNX,$246.74,$248.87,$244.94,$246.35,1036613,Technology,Sell
2023-01-13,BRTV,$84.12,$85.56,$82.77,$85.28,4587340,Finance,Buy
2023-08-25,CMPX,$265.98,$272.43,$263.76,$271.81,3793269,Healthcare,Hold
2023-03-07,ALNX,$163.16,$166.42,$160.71,$166.04,3041206,Technology,Buy
2023-06-06,ALNX,$193.46,$195.49,$192.41,$194.71,1412616,Technology,Buy
2023-07-07,CMPX,$257.93,$262.71,$253.64,$256.75,,Healthcare,
2023-02-25,BRTV,$80.29,$80.80,$78.57,$79.16,1993164,Finance,Buy
2023-09-01,CMPX,$269.41,$272.44,$264.58,$269.78,4829286,Healthcare,Hold
2023-06-09,BRTV,$94.18,$95.18,$92.36,$92.97,1273486,Finance,Hold
2023-01-19,CMPX,$217.10,$220.36,$214.29,$219.47,2120641,Healthcare,Buy
2023-06-06,BRTV,$91.68,$93.31,$90.58,$90.74,1378974,Finance,Strong Buy
2023-01-24,BRTV,$82.31,$83.70,$82.11,$82.32,1768285,Finance,Buy
2023-02-07,BRTV,$81.97,$82.52,$80.79,$82.02,2767074,Finance,Sell
2023-04-29,ALNX,$192.27,$194.76,$191.73,$193.30,1492995,Technology,Strong Buy
2023-05-18T00:00:00,CMPX,$224.11,$226.05,$220.62,$223.97,3310159,Healthcare,
2023-01-27,CMPX,$208.98,$212.71,$205.67,$205.94,4748434,Healthcare,Hold
2023-08-24,ALNX,$247.78,$248.03,$247.04,$247.24,1894625,Technology,Sell
2023-01-05,ALNX,$150.98,$152.44,$147.90,$148.22,2711749,Technology,Sell
2023-01-03,BRTV,$86.05,$87.01,$83.96,$84.63,1022599,Finance,
2023-02-28,ALNX,$153.57,$156.26,--,$156.03,4998264,Technology,
2023-03-22,BRTV,$77.37,$77.73,$76.21,$76.36,4904940,Finance,
2023-09-14,ALNX,$232.85,$234.43,$229.76,$231.84,4781084,Technology,
2023-02-21,BRTV,$78.33,$79.52,$77.80,$78.83,1643274,Finance,Hold
